Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BBL,BHP Group PlcSponsored ADR,$59.76,1.25,2.136%,151103160000.00,Australia,,1791420,Energy,Coal Mining
BKR,Baker Hughes Company Class A Common Stock,$21.43,0.18,0.847%,22307392096.00,,2017,6555600,Energy,Metal Fabrications
BP,BP p.l.c. Common Stock,$25.37,0.27,1.076%,86037868341.00,United Kingdom,,15508038,Energy,Integrated oil Companies
CMI,Cummins Inc. Common Stock,$258.17,-1.99,-0.765%,37833385304.00,United States,,772438,Energy,Industrial Machinery/Components
CNQ,Canadian Natural Resources Limited Common Stock,$30.55,-0.58,-1.863%,36239758569.00,Canada,,2289503,Energy,Oil & Gas Production
COP,ConocoPhillips Common Stock,$52.38,-0.20,-0.38%,70825664142.00,United States,,12404559,Energy,Integrated oil Companies
CVE,Cenovus Energy Inc Common Stock,$7.71,0.00,0.00%,15554060755.00,Canada,,5110807,Energy,Oil & Gas Production
CVX,Chevron Corporation Common Stock,$104.19,0.61,0.589%,200873008498.00,United States,,7184597,Energy,Integrated oil Companies
DVN,Devon Energy Corporation Common Stock,$22.52,-0.26,-1.141%,15158212000.00,United States,,7818029,Energy,Oil & Gas Production
E,ENI S.p.A. Common Stock,$24.90,0.06,0.242%,44478243143.00,Italy,,186853,Energy,Oil & Gas Production
EC,Ecopetrol S.A. American Depositary Shares,$12.74,0.14,1.111%,26191334511.00,Colombia,,856653,Energy,Oil & Gas Production
EMR,Emerson Electric Company Common Stock,$91.09,-0.38,-0.415%,54656702822.00,United States,,2847306,Energy,Consumer Electronics/Appliances
ENB,Enbridge Inc Common Stock,$36.74,-0.03,-0.082%,74418561657.00,Canada,,2204054,Energy,Natural Gas Distribution
EOG,EOG Resources Inc. Common Stock,$73.30,1.00,1.383%,42781300618.00,United States,,3551825,Energy,Oil & Gas Production
EQNR,Equinor ASA,$19.80,0.04,0.202%,64307694429.00,Norway,,3151628,Energy,Integrated oil Companies
FANG,Diamondback Energy Inc. Commmon Stock,$76.31,0.85,1.126%,13792742293.00,United States,2012,2095479,Energy,Oil & Gas Production
GE,General Electric Company Common Stock,$13.39,-0.01,-0.075%,117626480813.00,United States,,41662374,Energy,Consumer Electronics/Appliances
HAL,Halliburton Company Common Stock,$21.42,0.16,0.753%,19034514041.00,United States,,5835809,Energy,Oilfield Services/Equipment
HES,Hess Corporation Common Stock,$73.01,1.53,2.14%,22413088235.00,United States,,1972563,Energy,Integrated oil Companies
IMO,Imperial Oil Limited Common Stock,$25.11,0.09,0.36%,18432667318.00,Canada,,460995,Energy,Integrated oil Companies
MMP,Magellan Midstream Partners L.P. Limited Partnership,$45.23,0.18,0.40%,10099081858.00,United States,,1057890,Energy,Natural Gas Distribution
MPC,Marathon Petroleum Corporation Common Stock,$53.99,0.31,0.577%,35199797294.00,United States,,3850146,Energy,Integrated oil Companies
MPLX,MPLX LP Common Units Representing Limited Partner Interests,$26.33,0.16,0.611%,27308675752.00,United States,2012,1419283,Energy,Natural Gas Distribution
OTIS,Otis Worldwide Corporation Common Stock ,$69.63,-0.09,-0.129%,30196512078.00,,2020,7225736,Energy,Consumer Electronics/Appliances
OXY,Occidental Petroleum Corporation Common Stock,$25.30,-0.05,-0.197%,23616553079.00,United States,,14204776,Energy,Oil & Gas Production
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),$29.23,-0.20,-0.68%,16075269183.00,Canada,,948299,Energy,Oil & Gas Production
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$8.42,0.01,0.119%,54916087305.00,Brazil,,27139213,Energy,Oil & Gas Production
PLUG,Plug Power Inc. Common Stock,$31.96,-2.71,-7.817%,18846288495.00,United States,1999,34320536,Energy,Industrial Machinery/Components
PSX,Phillips 66 Common Stock,$80.00,-0.85,-1.051%,35029239040.00,United States,,2705716,Energy,Integrated oil Companies
PTR,PetroChina Company Limited Common Stock,$35.84,0.00,0.00%,65594718444.00,China,,194273,Energy,Oil & Gas Production
PXD,Pioneer Natural Resources Company Common Stock,$153.53,2.15,1.42%,33251570388.00,United States,,1901176,Energy,Oil & Gas Production
SLB,Schlumberger N.V. Common Stock,$27.35,-0.09,-0.328%,38242662292.00,France,,7971884,Energy,Oilfield Services/Equipment
SNP,China Petroleum & Chemical Corporation Common Stock,$52.43,-0.49,-0.926%,63477635193.00,China,,67635,Energy,Integrated oil Companies
SU,Suncor Energy  Inc. Common Stock,$21.02,-0.12,-0.568%,32004681922.00,Canada,,3483150,Energy,Integrated oil Companies
TOT,Total SE,$46.30,0.28,0.608%,121710556529.00,France,,2247983,Energy,Oil & Gas Production
TPL,Texas Pacific Land Corporation Common Stock,$1612.57,17.08,1.071%,12507344481.00,United States,,44651,Energy,Oil & Gas Production
VLO,Valero Energy Corporation Common Stock,$74.41,0.23,0.31%,30415790079.00,United States,,2772520,Energy,Integrated oil Companies
XOM,Exxon Mobil Corporation Common Stock,$56.59,0.25,0.444%,239575053385.00,United States,,22352589,Energy,Integrated oil Companies
